,Cattle Prices,,,,,,,Hog prices,,Sheep & lamb prices,,,
,TX/OK Steers,"NE Steers,",   Steers:  Med. #1,   Steers:  Med. #1,   Steers:  Med. #1,   Heifers:  Med. #1,   Heifers:  Med. #1,  Barrows and gilts,  Sows,"San Angelo, TX","St. Joseph, MO","San Angelo, TX","San Angelo, TX"
NOTE: Zeros indicate missing data or no quotes.,35-65 percent Choice,65-80 percent Choice,     500-550 lb,     600-650 lb,     750-800 lb,     450-500 lb,     700-750 lb,    National base 51-52% lean (live equivalent = carcass x .74),,"     Slaughter lambs, Choice",,"     Ewes, Good","     Feeder lambs, Choice"
Period,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,,$/cwt,$/cwt
Feb-04,78.57,79.15,111.19,97.36,86.61,101.86,82.45,45.21,36.45,99.94,96.71,49.87,136.00
Mar-04,85.41,86.96,115.86,104.31,89.97,109.84,87.69,48.30,41.00,102.50,101.11,42.62,127.81
Apr-04,85.60,87.04,118.27,106.96,95.68,110.67,91.29,48.34,42.34,92.31,95.13,45.37,119.37
May-04,87.34,88.22,123.02,113.75,104.74,115.66,102.77,58.45,46.51,97.50,99.49,43.25,114.19
Jun-04,89.16,89.19,126.07,121.19,113.31,123.09,108.37,57.95,49.34,101.37,106.96,40.12,112.81
Jul-04,84.91,84.27,134.86,124.51,117.10,129.57,109.04,58.21,50.59,97.50,104.87,46.58,113.92
Aug-04,84.28,84.15,130.31,122.28,116.73,123.83,112.04,56.19,47.56,91.12,97.51,46.69,119.44
Sep-04,82.74,82.33,122.18,117.48,114.99,117.13,111.41,55.34,43.26,92.25,94.21,48.44,119.12
Oct-04,85.49,84.03,124.89,115.13,114.61,118.89,109.56,53.68,42.99,91.75,90.36,47.50,115.31
Nov-04,86.31,84.64,125.76,114.16,110.73,102.79,102.79,56.23,49.26,95.58,91.20,52.17,119.50
Dec-04,87.48,86.60,124.73,109.73,105.24,117.15,99.68,53.15,44.18,99.12,94.50,59.25,122.00
Jan-05,89.87,87.77,122.48,110.06,104.55,115.88,101.96,53.36,46.50,107.25,103.38,63.12,129.87
Feb-05,88.90,87.73,129.66,115.50,101.97,121.43,97.95,51.11,45.87,109.69,109.02,65.62,132.12
Mar-05,90.57,91.78,137.08,123.21,105.63,130.78,104.10,51.30,43.37,101.37,108.90,63.62,133.81
Apr-05,92.00,91.98,135.34,125.47,111.44,130.39,106.51,51.00,41.58,99.37,106.11,54.75,137.06
May-05,89.52,88.83,137.42,126.94,112.63,134.52,109.94,55.40,45.04,96.94,108.23,48.37,134.25
Jun-05,84.90,83.06,135.43,124.60,116.02,120.70,110.69,49.86,44.97,99.50,111.91,52.62,132.37
Jul-05,80.67,79.37,131.03,122.18,110.37,120.90,106.86,49.96,39.06,95.00,110.64,47.42,130.42
Aug-05,80.96,80.80,132.45,117.95,111.74,122.73,105.05,51.60,40.72,92.14,106.07,57.54,131.36
Sep-05,84.91,85.19,130.97,118.66,112.39,122.37,109.71,49.98,41.16,91.56,102.94,47.00,128.69
Oct-05,88.11,87.40,128.51,117.64,114.22,121.19,110.21,47.49,44.78,93.00,100.35,48.50,124.50
Nov-05,90.48,90.32,133.51,119.91,117.42,119.69,109.62,44.31,39.02,93.33,98.30,54.75,126.75
Dec-05,93.70,93.08,132.35,119.03,112.90,126.50,109.52,44.81,40.36,94.00,94.74,59.50,126.25
Jan-06,94.99,92.90,137.11,120.73,110.86,130.26,106.34,41.37,34.94,86.75,89.72,55.58,107.44
Feb-06,90.05,89.09,136.86,121.71,105.51,130.51,101.94,43.17,33.80,76.87,85.97,49.98,114.90
Mar-06,86.06,85.73,132.82,125.49,102.30,125.11,97.16,43.34,36.01,67.47,82.96,45.21,104.02
Apr-06,82.09,81.30,132.39,121.81,99.10,123.05,95.30,41.45,31.46,60.60,81.31,40.26,104.68
May-06,79.05,79.02,128.08,117.32,102.89,122.92,95.21,49.00,33.69,68.16,80.97,34.12,104.89
Jun-06,82.95,80.85,130.69,121.79,110.24,123.08,105.58,54.90,36.91,70.94,91.12,29.08,105.35
Jul-06,81.11,81.14,130.22,119.61,113.90,119.07,108.15,51.89,36.04,74.00,96.66,28.67,101.58
Aug-06,84.46,85.87,129.66,121.39,114.01,121.17,109.32,53.32,37.74,84.00,95.31,30.09,101.65
Sep-06,90.21,89.18,130.21,122.99,117.58,121.71,111.53,50.28,40.01,85.30,96.53,42.20,104.25
Oct-06,88.96,87.43,122.96,110.49,107.97,114.00,103.35,47.57,40.65,85.18,97.44,41.00,106.54
Nov-06,87.53,86.56,117.18,104.19,100.35,108.62,95.34,45.97,38.97,85.40,93.12,39.50,104.30
Dec-06,86.50,85.83,119.25,104.63,100.99,108.90,96.14,44.84,34.66,83.00,90.95,38.25,101.63
Jan-07,88.14,86.75,116.03,102.38,97.17,108.32,92.21,44.04,32.69,81.00,92.07,40.50,102.00
Feb-07,91.40,88.68,121.16,111.30,97.50,109.89,93.16,48.60,35.94,82.27,94.01,41.79,109.63
